Simulacion del paciente 
31/03/17 14:09:06 dia: 146  error: 0.0498837
31/03/17 14:09:09 dia: 147  error: 0.0524734
31/03/17 14:09:12 dia: 148  error: 0.0548449
31/03/17 14:09:15 dia: 149  error: 0.0569164
31/03/17 14:09:19 dia: 150  error: 6.66516
31/03/17 14:09:22 dia: 151  error: 6.95627
31/03/17 14:09:24 dia: 152  error: 7.20769
31/03/17 14:09:27 dia: 153  error: 7.40822
31/03/17 14:09:30 dia: 154  error: 7.54622
31/03/17 14:09:32 dia: 155  error: 7.61007
31/03/17 14:09:35 dia: 156  error: 7.58887
31/03/17 14:09:38 dia: 157  error: 7.47315
31/03/17 14:09:40 dia: 158  error: 7.25577
31/03/17 14:09:43 dia: 159  error: 6.93287
31/03/17 14:09:46 dia: 160  error: 6.50481
31/03/17 14:09:48 dia: 161  error: 5.977
31/03/17 14:09:51 dia: 162  error: 5.36055
31/03/17 14:09:54 dia: 163  error: 4.67256
31/03/17 14:09:56 dia: 164  error: 3.93602
31/03/17 14:09:59 dia: 165  error: 3.17908
31/03/17 14:10:01 dia: 166  error: 2.43394
31/03/17 14:10:04 dia: 167  error: 1.735
31/03/17 14:10:07 dia: 168  error: 1.11675
31/03/17 14:10:09 dia: 169  error: 0.611322
31/03/17 14:10:12 dia: 170  error: 0.246044
31/03/17 14:10:15 dia: 171  error: 0.0412365
31/03/17 14:10:18 dia: 172  error: 0.00852298
31/03/17 14:10:20 dia: 173  error: 0.149835
31/03/17 14:10:23 dia: 174  error: 0.457259
31/03/17 14:10:26 dia: 175  error: 0.913726
31/03/17 14:10:29 dia: 176  error: 1.49447
31/03/17 14:10:31 dia: 177  error: 2.16905
31/03/17 14:10:34 dia: 178  error: 2.90375
31/03/17 14:10:37 dia: 179  error: 3.664
31/03/17 14:10:39 dia: 180  error: 4.41664
31/03/17 14:10:42 dia: 181  error: 5.13188
31/03/17 14:10:45 dia: 182  error: 5.78465
31/03/17 14:10:47 dia: 183  error: 6.35549
31/03/17 14:10:50 dia: 184  error: 6.83088
31/03/17 14:10:53 dia: 185  error: 7.20309
31/03/17 14:10:55 dia: 186  error: 7.46969
31/03/17 14:10:58 dia: 187  error: 7.63275
31/03/17 14:11:01 dia: 188  error: 7.69802
31/03/17 14:11:03 dia: 189  error: 7.67391
31/03/17 14:11:06 dia: 190  error: 7.57066
31/03/17 14:11:09 dia: 191  error: 7.3995
31/03/17 14:11:12 dia: 192  error: 7.17198
31/03/17 14:11:14 dia: 193  error: 6.89944
31/03/17 14:11:17 dia: 194  error: 6.59258
31/03/17 14:11:19 dia: 195  error: 6.26121
31/03/17 14:11:22 dia: 196  error: 5.91406
31/03/17 14:11:25 dia: 197  error: 5.55871
31/03/17 14:11:28 dia: 198  error: 5.20159
31/03/17 14:11:31 dia: 199  error: 4.84801
31/03/17 14:11:33 dia: 200  error: 4.50224
31/03/17 14:11:36 dia: 201  error: 4.1676
31/03/17 14:11:38 dia: 202  error: 3.84658
31/03/17 14:11:41 dia: 203  error: 3.54097
31/03/17 14:11:44 dia: 204  error: 3.25194
31/03/17 14:11:46 dia: 205  error: 2.98013
31/03/17 14:11:49 dia: 206  error: 2.72581
31/03/17 14:11:51 dia: 207  error: 2.48888
31/03/17 14:11:54 dia: 208  error: 2.26902
31/03/17 14:11:57 dia: 209  error: 2.06568
31/03/17 14:11:59 dia: 210  error: 1.8782
31/03/17 14:12:02 dia: 211  error: 1.7058
31/03/17 14:12:05 dia: 212  error: 1.54764
31/03/17 14:12:07 dia: 213  error: 1.40286
31/03/17 14:12:10 dia: 214  error: 1.27057
31/03/17 14:12:13 dia: 215  error: 1.1499
31/03/17 14:12:16 dia: 216  error: 1.04
31/03/17 14:12:18 dia: 217  error: 0.94003
31/03/17 14:12:21 dia: 218  error: 0.849214
31/03/17 14:12:24 dia: 219  error: 0.766798
31/03/17 14:12:26 dia: 220  error: 0.692077
31/03/17 14:12:29 dia: 221  error: 0.624392
31/03/17 14:12:31 dia: 222  error: 0.563127
31/03/17 14:12:34 dia: 223  error: 0.507711
31/03/17 14:12:37 dia: 224  error: 0.457618
31/03/17 14:12:39 dia: 225  error: 0.412361
31/03/17 14:12:42 dia: 226  error: 0.371494
31/03/17 14:12:45 dia: 227  error: 0.334607
31/03/17 14:12:47 dia: 228  error: 0.301326
31/03/17 14:12:50 dia: 229  error: 0.27131
31/03/17 14:12:53 dia: 230  error: 0.244247
31/03/17 14:12:55 dia: 231  error: 0.219853
31/03/17 14:12:58 dia: 232  error: 0.197872
31/03/17 14:13:01 dia: 233  error: 0.178069
31/03/17 14:13:03 dia: 234  error: 0.160231
31/03/17 14:13:06 dia: 235  error: 0.144168
31/03/17 14:13:08 dia: 236  error: 0.129705
31/03/17 14:13:11 dia: 237  error: 0.116684
31/03/17 14:13:14 dia: 238  error: 9.82642
31/03/17 14:13:16 dia: 239  error: 8.83748
31/03/17 14:13:18 dia: 240  error: 7.94778
31/03/17 14:13:20 dia: 241  error: 7.14743
31/03/17 14:13:22 dia: 242  error: 6.42749
31/03/17 14:13:24 dia: 243  error: 5.77993
31/03/17 14:13:26 dia: 244  error: 5.19749
31/03/17 14:13:28 dia: 245  error: 4.67364
31/03/17 14:13:30 dia: 246  error: 4.20252
31/03/17 14:13:33 dia: 247  error: 3.77882
31/03/17 14:13:35 dia: 248  error: 3.39779
31/03/17 14:13:37 dia: 249  error: 3.05514
31/03/17 14:13:40 dia: 250  error: 2.74701
31/03/17 14:13:42 dia: 251  error: 2.46993
31/03/17 14:13:44 dia: 252  error: 2.22078
31/03/17 14:13:46 dia: 253  error: 1.99674
31/03/17 14:13:48 dia: 254  error: 1.79529
31/03/17 14:13:51 dia: 255  error: 1.61415
31/03/17 14:13:53 dia: 256  error: 1.45128
31/03/17 14:13:55 dia: 257  error: 1.30484
31/03/17 14:13:57 dia: 258  error: 1.17317
31/03/17 14:13:59 dia: 259  error: 1.05477
31/03/17 14:14:01 dia: 260  error: 0.948328
31/03/17 14:14:04 dia: 261  error: 0.85262
31/03/17 14:14:06 dia: 262  error: 0.766569
31/03/17 14:14:08 dia: 263  error: 0.689201
31/03/17 14:14:11 dia: 264  error: 0.619639
31/03/17 14:14:13 dia: 265  error: 0.557097
31/03/17 14:14:15 dia: 266  error: 0.500867
31/03/17 14:14:17 dia: 267  error: 0.450311
31/03/17 14:14:19 dia: 268  error: 0.404857
31/03/17 14:14:21 dia: 269  error: 0.363991
31/03/17 14:14:23 dia: 270  error: 0.327249
31/03/17 14:14:25 dia: 271  error: 0.294216
31/03/17 14:14:27 dia: 272  error: 0.264517
31/03/17 14:14:29 dia: 273  error: 0.237816
31/03/17 14:14:31 dia: 274  error: 0.213809
31/03/17 14:14:33 dia: 275  error: 0.192226
31/03/17 14:14:35 dia: 276  error: 0.172822
31/03/17 14:14:37 dia: 277  error: 0.155376
31/03/17 14:14:39 dia: 278  error: 0.139691
31/03/17 14:14:41 dia: 279  error: 0.12559
31/03/17 14:14:43 dia: 280  error: 0.112911
31/03/17 14:14:45 dia: 281  error: 9.48299
31/03/17 14:14:46 dia: 282  error: 8.51581
31/03/17 14:14:47 dia: 283  error: 7.64728
31/03/17 14:14:49 dia: 284  error: 6.86732
31/03/17 14:14:50 dia: 285  error: 6.16692
31/03/17 14:14:51 dia: 286  error: 5.53795
31/03/17 14:14:53 dia: 287  error: 4.97313
31/03/17 14:14:54 dia: 288  error: 4.46591
31/03/17 14:14:55 dia: 289  error: 4.01042
31/03/17 14:14:57 dia: 290  error: 3.6014
31/03/17 14:14:58 dia: 291  error: 3.23408
31/03/17 14:14:59 dia: 292  error: 2.90423
31/03/17 14:15:01 dia: 293  error: 2.60803
31/03/17 14:15:02 dia: 294  error: 2.34203
31/03/17 14:15:03 dia: 295  error: 2.10316
31/03/17 14:15:05 dia: 296  error: 1.88866
31/03/17 14:15:06 dia: 297  error: 1.69603
31/03/17 14:15:08 dia: 298  error: 1.52305
31/03/17 14:15:09 dia: 299  error: 1.36771
